slice_idx,num_points,x_mm,y_mm,z_mm
13,50,-122.3892,-55.1909,12.7618
13,50,-127.4732,-54.4868,13.7530
13,50,-128.3206,-54.5107,13.8943
13,50,-129.1679,-53.6872,14.1789
13,50,-130.0152,-53.7111,14.3202
13,50,-130.8626,-52.8876,14.6047
13,50,-131.7099,-52.9115,14.7460
13,50,-134.2519,-50.4411,15.5996
13,50,-135.0993,-50.4650,15.7410
13,50,-139.3359,-46.3476,17.1636
13,50,-139.3359,-45.5003,17.3068
13,50,-140.1833,-44.6768,17.5914
13,50,-140.1833,-42.9821,17.8778
13,50,-141.0306,-42.1586,18.1623
13,50,-141.0306,-41.3112,18.3055
13,50,-141.8780,-40.4877,18.5900
13,50,-141.8780,-38.7930,18.8764
13,50,-142.7253,-37.9695,19.1610
13,50,-142.7253,-36.2748,19.4474
13,50,-141.8780,-35.4036,19.4492
13,50,-141.8780,-34.5562,19.5924
13,50,-134.2519,-14.0046,21.7573
13,50,-134.2519,-13.1573,21.9005
13,50,-133.4046,-12.2860,21.9024
13,50,-133.4046,-11.4387,22.0456
13,50,-131.7099,-9.6962,22.0493
13,50,-130.8626,-9.6723,21.9080
13,50,-129.1679,-7.9298,21.9117
13,50,-128.3206,-7.9059,21.7704
13,50,-127.4732,-7.0347,21.7722
13,50,-125.7785,-6.9869,21.4896
13,50,-124.9312,-6.1157,21.4915
13,50,-120.6945,-5.9962,20.7848
13,50,-119.8472,-5.1250,20.7867
13,50,-118.1525,-5.0772,20.5040
13,50,-117.3052,-5.9007,20.2195
13,50,-114.7632,-5.8290,19.7955
13,50,-113.9158,-6.6525,19.5109
13,50,-112.2212,-6.6047,19.2283
13,50,-109.6791,-9.0752,18.3747
13,50,-108.8318,-9.0513,18.2334
13,50,-107.9845,-9.8748,17.9488
13,50,-107.1371,-9.8509,17.8075
13,50,-100.3584,-16.4387,15.5312
13,50,-100.3584,-18.1334,15.2448
13,50,-99.5111,-18.9569,14.9603
13,50,-99.5111,-19.8042,14.8171
13,50,-98.6638,-20.6277,14.5326
13,50,-98.6638,-30.7960,12.8142
13,50,-115.6105,-51.6104,12.2040
14,66,-118.0057,-55.2049,7.6873
14,66,-122.2424,-55.3243,8.3940
14,66,-123.0897,-54.5008,8.6785
14,66,-125.6317,-54.5725,9.1025
14,66,-126.4791,-53.7490,9.3871
14,66,-129.0211,-53.8207,9.8111
14,66,-129.8684,-52.9972,10.0956
14,66,-130.7158,-53.0211,10.2369
14,66,-131.5631,-52.1976,10.5214
14,66,-132.4104,-52.2215,10.6628
14,66,-133.2578,-51.3980,10.9473
14,66,-134.1051,-51.4219,11.0886
14,66,-136.6471,-48.9515,11.9422
14,66,-137.4945,-48.9753,12.0836
14,66,-139.1891,-47.3284,12.6526
14,66,-139.1891,-46.4810,12.7958
14,66,-141.7311,-44.0106,13.6494
14,66,-141.7311,-43.1632,13.7926
14,66,-143.4258,-41.5163,14.3617
14,66,-143.4258,-40.6689,14.5049
14,66,-144.2732,-39.8455,14.7894
14,66,-144.2732,-33.9139,15.7918
14,66,-135.7998,-12.4911,17.9586
14,66,-135.7998,-11.6437,18.1018
14,66,-134.1051,-9.9012,18.1055
14,66,-134.1051,-9.0539,18.2487
