slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
13,0,1,-139.3359,-30.2478,19.8845
13,0,1,-139.3359,-28.5531,20.1709
13,0,1,-138.4886,-27.6818,20.1727
13,0,1,-138.4886,-25.9871,20.4591
13,0,1,-137.6413,-25.1158,20.4610
13,0,1,-137.6413,-22.5738,20.8906
13,0,1,-136.7939,-21.7025,20.8925
13,0,1,-136.7939,-20.8552,21.0357
13,0,1,-135.9466,-16.5945,21.6104
13,0,1,-135.0993,-15.7232,21.6122
13,0,1,-135.0993,-14.8759,21.7554
13,0,1,-134.2519,-14.0046,21.7573
13,0,1,-134.2519,-13.1573,21.9005
13,0,1,-133.4046,-12.2860,21.9024
13,0,1,-133.4046,-11.4387,22.0456
13,0,1,-131.7099,-9.6962,22.0493
13,0,1,-130.8626,-9.6723,21.9080
13,0,1,-129.1679,-7.9298,21.9117
13,0,1,-128.3206,-7.9059,21.7704
13,0,1,-127.4732,-7.0347,21.7722
13,0,1,-125.7785,-6.9869,21.4896
13,0,1,-124.9312,-6.1157,21.4915
13,0,1,-120.6945,-5.9962,20.7848
13,0,1,-119.8472,-5.1250,20.7867
13,0,1,-118.1525,-5.0772,20.5040
13,0,1,-117.3052,-5.9007,20.2195
13,0,1,-114.7632,-5.8290,19.7955
13,0,1,-113.9158,-6.6525,19.5109
13,0,1,-112.2212,-6.6047,19.2283
13,0,1,-109.6791,-9.0752,18.3747
13,0,1,-108.8318,-9.0513,18.2334
13,0,1,-107.9845,-9.8748,17.9488
13,0,1,-107.1371,-9.8509,17.8075
13,0,1,-100.3584,-16.4387,15.5312
13,0,1,-100.3584,-18.1334,15.2448
13,0,1,-99.5111,-18.9569,14.9603
13,0,1,-99.5111,-19.8042,14.8171
13,0,1,-98.6638,-20.6277,14.5326
13,0,1,-98.6638,-30.7960,12.8142
13,0,1,-99.5111,-31.6673,12.8123
13,0,1,-99.5111,-33.3620,12.5259
13,0,1,-103.7478,-37.7182,12.5165
13,0,1,-103.7478,-39.4129,12.2301
13,0,1,-104.5951,-40.2842,12.2283
13,0,1,-104.5951,-41.1315,12.0851
13,0,1,-106.2898,-42.8740,12.0813
13,0,1,-107.1371,-42.8979,12.2226
13,0,1,-109.6791,-45.5117,12.2170
13,0,1,-110.5265,-45.5355,12.3584
13,1,1,-121.5419,-56.0144,12.4773
13,1,1,-122.3892,-55.1909,12.7618
13,1,1,-126.6259,-55.3103,13.4685
13,1,1,-127.4732,-54.4868,13.7530
13,1,1,-128.3206,-54.5107,13.8943
13,1,1,-129.1679,-53.6872,14.1789
13,1,1,-130.0152,-53.7111,14.3202
13,1,1,-130.8626,-52.8876,14.6047
13,1,1,-131.7099,-52.9115,14.7460
13,1,1,-134.2519,-50.4411,15.5996
13,1,1,-135.0993,-50.4650,15.7410
13,1,1,-139.3359,-46.3476,17.1636
13,1,1,-139.3359,-45.5003,17.3068
13,1,1,-140.1833,-44.6768,17.5914
13,1,1,-140.1833,-42.9821,17.8778
13,1,1,-141.0306,-42.1586,18.1623
13,1,1,-141.0306,-41.3112,18.3055
13,1,1,-141.8780,-40.4877,18.5900
13,1,1,-141.8780,-38.7930,18.8764
13,1,1,-142.7253,-37.9695,19.1610
13,1,1,-142.7253,-36.2748,19.4474
13,1,1,-141.8780,-35.4036,19.4492
13,1,1,-141.8780,-34.5562,19.5924
13,1,1,-141.0306,-33.6850,19.5943
13,1,1,-141.0306,-32.8376,19.7375
13,1,1,-140.1833,-31.9664,19.7394
13,1,1,-140.1833,-31.1190,19.8826
13,1,1,-135.9466,-19.9839,21.0375
13,1,1,-119.8472,-55.9666,12.1946
14,0,1,-118.0057,-55.2049,7.6873
14,0,1,-122.2424,-55.3243,8.3940
14,0,1,-123.0897,-54.5008,8.6785
14,0,1,-125.6317,-54.5725,9.1025
14,0,1,-126.4791,-53.7490,9.3871
14,0,1,-129.0211,-53.8207,9.8111
14,0,1,-129.8684,-52.9972,10.0956
14,0,1,-130.7158,-53.0211,10.2369
14,0,1,-131.5631,-52.1976,10.5214
14,0,1,-132.4104,-52.2215,10.6628
14,0,1,-133.2578,-51.3980,10.9473
14,0,1,-134.1051,-51.4219,11.0886
14,0,1,-136.6471,-48.9515,11.9422
14,0,1,-137.4945,-48.9753,12.0836
14,0,1,-139.1891,-47.3284,12.6526
14,0,1,-139.1891,-46.4810,12.7958
14,0,1,-141.7311,-44.0106,13.6494
14,0,1,-141.7311,-43.1632,13.7926
14,0,1,-143.4258,-41.5163,14.3617
14,0,1,-143.4258,-40.6689,14.5049
14,0,1,-144.2732,-39.8455,14.7894
14,0,1,-144.2732,-33.9139,15.7918
14,0,1,-135.7998,-11.6437,18.1018
14,0,1,-134.1051,-9.9012,18.1055
14,0,1,-134.1051,-9.0539,18.2487
14,0,1,-132.4104,-7.3114,18.2524
14,0,1,-131.5631,-7.2875,18.1111
14,0,1,-129.8684,-5.5450,18.1148
14,0,1,-128.1737,-5.4973,17.8322
14,0,1,-127.3264,-4.6260,17.8340
14,0,1,-125.6317,-4.5782,17.5514
14,0,1,-124.7844,-3.7070,17.5533
14,0,1,-116.3110,-3.4681,16.1399
14,0,1,-115.4637,-4.2916,15.8554
14,0,1,-114.6163,-4.2677,15.7141
14,0,1,-113.7690,-5.0912,15.4295
14,0,1,-112.0743,-5.0434,15.1469
14,0,1,-111.2270,-5.8669,14.8623
14,0,1,-110.3797,-5.8430,14.7210
14,0,1,-108.6850,-7.4900,14.1520
14,0,1,-107.8377,-7.4661,14.0106
14,0,1,-106.1430,-9.1131,13.4416
14,0,1,-105.2956,-9.0892,13.3002
14,0,1,-102.7536,-11.5596,12.4466
14,0,1,-102.7536,-12.4070,12.3034
14,0,1,-101.0590,-14.0539,11.7344
14,0,1,-101.0590,-14.9013,11.5912
14,0,1,-99.3643,-16.5482,11.0221
14,0,1,-99.3643,-18.2429,10.7357
14,0,1,-98.5169,-19.0664,10.4512
14,0,1,-98.5169,-20.7611,10.1648
14,0,1,-97.6696,-21.5846,9.8802
14,0,1,-101.0590,-42.8641,6.8655
14,0,1,-101.0590,-43.7115,6.7223
14,0,1,-103.6010,-46.3252,6.7167
14,0,1,-103.6010,-47.1726,6.5735
14,0,1,-104.4483,-48.0438,6.5716
14,0,1,-104.4483,-49.7386,6.2852
14,0,1,-106.9903,-51.5049,6.4228
14,0,1,-107.8377,-50.6815,6.7074
14,0,1,-109.5323,-52.4239,6.7036
14,0,1,-114.6163,-52.5673,7.5516
14,0,1,-114.6163,-53.4146,7.4084
15,0,1,-124.6376,-53.8346,4.7366
15,0,1,-125.4849,-53.0112,5.0211
15,0,1,-128.8743,-53.1067,5.5865
15,0,1,-129.7216,-52.2832,5.8710
15,0,1,-130.5689,-52.3071,6.0123
15,0,1,-131.4163,-51.4836,6.2968
15,0,1,-133.1109,-51.5314,6.5795
15,0,1,-133.9583,-50.7079,6.8640
15,0,1,-134.8056,-50.7318,7.0054
15,0,1,-142.4317,-43.3205,9.5662
15,0,1,-142.4317,-42.4732,9.7094
15,0,1,-144.9737,-40.0028,10.5630
15,0,1,-144.9737,-39.1554,10.7062
15,0,1,-145.8210,-38.3319,10.9907
15,0,1,-145.8210,-36.6372,11.2771
15,0,1,-146.6683,-35.8137,11.5616
15,0,1,-146.6683,-30.7296,12.4208
15,0,1,-133.9583,-7.4926,14.1673
15,0,1,-131.4163,-4.8788,14.1729
15,0,1,-129.7216,-4.8311,13.8902
15,0,1,-128.8743,-3.9598,13.8921
15,0,1,-128.0269,-3.9359,13.7508
15,0,1,-127.1796,-3.0647,13.7527
15,0,1,-123.7902,-2.9692,13.1873
15,0,1,-122.9429,-2.0979,13.1892
15,0,1,-122.0956,-2.0740,13.0479
15,0,1,-121.2482,-2.8975,12.7633
15,0,1,-118.7062,-2.8259,12.3393
15,0,1,-117.8589,-3.6493,12.0548
15,0,1,-117.0115,-3.6254,11.9135
15,0,1,-116.1642,-4.4489,11.6289
15,0,1,-115.3169,-4.4250,11.4876
15,0,1,-114.4695,-5.2485,11.2031
15,0,1,-112.7749,-5.2007,10.9204
15,0,1,-111.0802,-6.8477,10.3513
