x_mm,y_mm,z_mm,slice_idx
-100.3521,-18.6018,-1.5516,3
-100.3521,-21.1017,-1.5370,3
-99.8522,-21.6018,-1.5407,3
-99.8522,-22.1018,-1.5378,3
-99.3522,-22.6018,-1.5415,3
-99.3522,-23.1018,-1.5386,3
-100.8521,-24.6016,-1.5100,3
-100.8521,-25.1016,-1.5070,3
-100.3521,-25.6017,-1.5107,3
-100.3521,-26.6016,-1.5049,3
-101.3521,-27.6015,-1.4858,3
-102.3520,-27.6015,-1.4726,3
-102.8519,-28.1014,-1.4631,3
-103.8518,-28.1013,-1.4499,3
-104.8518,-29.1013,-1.4308,3
-105.3517,-29.1012,-1.4242,3
-108.3514,-32.1009,-1.3670,3
-109.8513,-32.1008,-1.3472,3
-110.3513,-32.6008,-1.3377,3
-114.8073,-35.0811,2.0360,4
-115.3072,-34.5811,2.0397,4
-115.8072,-34.5810,2.0463,4
-116.3071,-34.0810,2.0500,4
-116.8071,-34.0810,2.0566,4
-120.3068,-30.5807,2.0824,4
-120.3068,-30.0808,2.0795,4
-122.3066,-28.0806,2.0943,4
-122.3066,-27.5806,2.0913,4
-122.8066,-27.0806,2.0950,4
-122.8066,-26.0806,2.0892,4
-123.3065,-25.5806,2.0929,4
-123.3065,-25.0806,2.0899,4
-123.8065,-24.5806,2.0936,4
-123.8065,-24.0806,2.0907,4
-124.3064,-23.5806,2.0944,4
-124.3064,-20.5806,2.0769,4
-123.8065,-20.0807,2.0673,4
-123.8065,-19.0807,2.0615,4
-123.3065,-18.5807,2.0520,4
-123.3065,-18.0807,2.0490,4
-122.3066,-17.0808,2.0300,4
-122.3066,-16.5808,2.0271,4
-116.3071,-10.5814,1.9127,4
-115.8072,-10.5814,1.9061,4
-114.3073,-9.0816,1.8775,4
-113.8074,-9.0816,1.8709,4
-113.3074,-8.5817,1.8614,4
-110.3077,-8.5819,1.8217,4
-109.8077,-8.0819,1.8122,4
-107.3079,-8.0821,1.7792,4
-106.8080,-8.5822,1.7755,4
-106.3080,-8.5822,1.7689,4
-104.8081,-10.0823,1.7578,4
-104.3082,-10.0823,1.7512,4
-101.3084,-13.0825,1.7291,4
-100.3085,-13.0826,1.7159,4
-99.3086,-14.0827,1.7085,4
-98.8087,-14.0827,1.7019,4
-97.3088,-15.5828,1.6908,4
-97.3088,-16.0828,1.6938,4
-96.3089,-17.0828,1.6864,4
-96.3089,-17.5828,1.6893,4
-90.8094,-23.0832,1.6488,4
-90.8094,-25.0831,1.6605,4
-91.8093,-26.0830,1.6795,4
-92.3092,-26.0830,1.6861,4
-96.3089,-30.0826,1.7624,4
-100.3085,-30.0823,1.8152,4
-100.8085,-29.5823,1.8189,4
-101.3084,-30.0822,1.8284,4
-104.3082,-30.0820,1.8681,4
-104.8081,-30.5819,1.8776,4
-105.3081,-30.5819,1.8842,4
-109.3077,-34.5815,1.9604,4
-109.8077,-34.5815,1.9671,4
-110.3077,-35.0814,1.9766,4
-111.2640,-37.5620,5.3041,5
-111.7639,-37.0620,5.3077,5
-112.7638,-37.0619,5.3210,5
-113.2638,-36.5619,5.3246,5
-115.2636,-36.5617,5.3511,5
-120.7631,-31.0614,5.3916,5
-120.7631,-30.5614,5.3887,5
-121.7630,-29.5614,5.3961,5
-121.7630,-29.0614,5.3931,5
-122.2630,-28.5613,5.3968,5
-122.2630,-28.0614,5.3939,5
-123.7629,-26.5613,5.4050,5
-123.7629,-26.0613,5.4020,5
-124.2628,-25.5612,5.4057,5
-124.2628,-20.0613,5.3736,5
-123.7629,-19.5614,5.3641,5
-123.7629,-19.0614,5.3611,5
-119.2633,-14.5618,5.2754,5
-119.2633,-14.0618,5.2725,5
-116.7635,-11.5621,5.2248,5
-116.7635,-11.0621,5.2219,5
-115.2636,-9.5622,5.1933,5
-114.7637,-9.5622,5.1867,5
-113.7637,-8.5623,5.1676,5
-113.2638,-8.5624,5.1610,5
-112.7638,-8.0624,5.1515,5
-111.7639,-8.0625,5.1383,5
-111.2640,-7.5626,5.1288,5
-110.7640,-7.5626,5.1221,5
-110.2641,-7.0626,5.1126,5
-109.7641,-7.0627,5.1060,5
-109.2641,-6.5627,5.0965,5
-103.7646,-6.5631,5.0238,5
-103.2647,-7.0632,5.0201,5
-101.2648,-7.0633,4.9937,5
-100.7649,-7.5634,4.9900,5
-99.7650,-7.5634,4.9768,5
-99.2650,-8.0635,4.9731,5
-98.7651,-8.0635,4.9665,5
-96.7652,-10.0636,4.9517,5
-96.7652,-10.5636,4.9547,5
-95.7653,-11.5637,4.9473,5
-95.7653,-12.0637,4.9502,5
-95.2654,-12.5637,4.9465,5
-95.2654,-13.0637,4.9495,5
-94.7654,-13.5637,4.9458,5
-94.7654,-14.0637,4.9487,5
-93.7655,-15.0638,4.9413,5
-94.2654,-15.5637,4.9509,5
-93.7655,-16.0638,4.9472,5
-93.7655,-16.5638,4.9501,5
-91.7657,-18.5639,4.9353,5
-91.2657,-18.5639,4.9287,5
-90.2658,-19.5640,4.9214,5
-90.2658,-20.0640,4.9243,5
-88.2660,-22.0641,4.9095,5
-88.2660,-23.5641,4.9183,5
-87.2661,-24.5641,4.9109,5
-87.2661,-25.0641,4.9139,5
-85.7662,-26.5642,4.9028,5
-85.7662,-31.0641,4.9291,5
-86.7661,-32.0640,4.9482,5
-87.2661,-31.5640,4.9518,5
-87.7660,-32.0639,4.9614,5
-88.2660,-31.5639,4.9651,5
-88.7659,-32.0639,4.9746,5
-89.7658,-32.0638,4.9878,5
-90.2658,-32.5637,4.9973,5
-90.7658,-32.5637,5.0039,5
-91.7657,-33.5636,5.0230,5
-92.2656,-33.5636,5.0296,5
-93.7655,-35.0634,5.0582,5
-94.2654,-35.0634,5.0648,5
-96.2653,-33.0633,5.0795,5
-96.7652,-33.0632,5.0862,5
-97.2652,-32.5632,5.0898,5
-97.7651,-32.5632,5.0964,5
-98.2651,-32.0631,5.1001,5
-100.7649,-32.0629,5.1332,5
-101.7648,-33.0629,5.1522,5
-102.7647,-33.0628,5.1654,5
-104.2646,-34.5626,5.1940,5
-104.2646,-35.0626,5.1969,5
-104.7645,-35.5626,5.2065,5
-104.7645,-36.0626,5.2094,5
-105.7644,-37.0625,5.2285,5
-106.2644,-37.0624,5.2351,5
-106.7644,-37.5624,5.2446,5
-109.2205,-41.5428,8.6007,6
-109.7205,-41.0428,8.6043,6
-110.2204,-41.0428,8.6110,6
-110.7204,-40.5427,8.6146,6
-111.2204,-40.5427,8.6212,6
-111.7203,-40.0427,8.6249,6
-112.2203,-40.0426,8.6315,6
-113.2202,-39.0426,8.6389,6
-114.2201,-39.0425,8.6521,6
-115.7200,-37.5424,8.6632,6
-116.2199,-37.5424,8.6698,6
-120.2196,-33.5421,8.6993,6
-120.2196,-33.0421,8.6964,6
-120.7195,-32.5421,8.7000,6
-120.7195,-32.0421,8.6971,6
-121.7194,-31.0421,8.7045,6
-121.7194,-30.5421,8.7016,6
-122.2194,-30.0420,8.7053,6
-122.2194,-29.5420,8.7023,6
-123.2193,-28.5420,8.7097,6
-123.2193,-28.0420,8.7068,6
-123.7193,-27.5420,8.7105,6
-123.7193,-27.0420,8.7075,6
-124.2192,-26.5419,8.7112,6
-124.2192,-24.5420,8.6995,6
-124.7192,-24.0419,8.7032,6
-124.7192,-23.0420,8.6974,6
-124.2192,-22.5420,8.6879,6
-124.2192,-21.5420,8.6820,6
-122.7194,-20.0422,8.6534,6
-122.7194,-19.5422,8.6505,6
-119.7196,-16.5425,8.5933,6
-119.7196,-16.0425,8.5904,6
-118.7197,-15.0426,8.5713,6
-118.7197,-14.5426,8.5684,6
-116.2199,-12.0428,8.5208,6
-116.2199,-11.5428,8.5179,6
-112.7202,-8.0431,8.4512,6
-112.2203,-8.0432,8.4445,6
-111.2204,-7.0433,8.4255,6
-110.7204,-7.0433,8.4189,6
-110.2204,-6.5434,8.4093,6
-109.7205,-6.5434,8.4027,6
-108.7206,-5.5435,8.3837,6
-103.7210,-5.5439,8.3176,6
-103.2211,-6.0439,8.3139,6
-102.7211,-5.5440,8.3044,6
-100.7213,-5.5441,8.2780,6
-100.2213,-6.0441,8.2743,6
-99.2214,-6.0442,8.2611,6
-98.7214,-6.5443,8.2574,6
-97.7215,-6.5443,8.2442,6
-96.2217,-8.0444,8.2331,6
-95.7217,-8.0445,8.2265,6
-95.2218,-8.5445,8.2228,6
-94.7218,-8.5445,8.2162,6
-92.7220,-10.5446,8.2015,6
-92.7220,-11.0446,8.2044,6
-91.2221,-12.5447,8.1933,6
-91.2221,-15.0447,8.2079,6
-90.7221,-15.5447,8.2043,6
-90.7221,-16.0447,8.2072,6
-89.2223,-17.5448,8.1961,6
-89.2223,-18.0448,8.1990,6
-88.7223,-18.5448,8.1954,6
-88.7223,-19.0448,8.1983,6
-88.2224,-19.5448,8.1946,6
-88.2224,-20.5448,8.2004,6
-87.7224,-21.0449,8.1968,6
-87.7224,-21.5448,8.1997,6
-86.7225,-22.5449,8.1923,6
-86.7225,-23.0449,8.1952,6
-86.2225,-23.5449,8.1915,6
-86.2225,-24.0449,8.1945,6
-85.7226,-24.5449,8.1908,6
-85.7226,-27.5449,8.2083,6
-85.2226,-28.0449,8.2046,6
-85.2226,-29.0449,8.2105,6
-84.7227,-29.5449,8.2068,6
-85.2226,-30.0449,8.2163,6
