slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
11,0,0,3864,-115.7989,-13.7694,-55.8589,-0.206114,0.147752,-0.967309,12.5443,98,105,0.9333,0.6014
12,0,0,5052,-109.5160,-11.5295,-49.4122,0.206114,-0.147752,0.967309,20.2503,109,172,0.6337,0.5839
14,0,1,12480,-106.7571,-17.1606,-28.5302,0.206114,-0.147752,0.967309,16.0002,101,152,0.6645,0.6007
16,0,1,9880,-105.2682,-12.6605,-20.7167,-0.206114,0.147752,-0.967309,11.6776,99,100,0.9900,0.4624
