slice_idx,num_points,x_mm,y_mm,z_mm
1,82,-116.9970,-28.1911,-54.0848
1,82,-117.3015,-27.8905,-53.9740
1,82,-118.8290,-27.6232,-53.6077
1,82,-124.0109,-24.0574,-51.9589
1,82,-124.9241,-23.1555,-51.6265
1,82,-124.9227,-22.8466,-51.5796
1,82,-125.2271,-22.5460,-51.4688
1,82,-125.2257,-22.2370,-51.4219
1,82,-125.8346,-21.6357,-51.2004
1,82,-125.8332,-21.3268,-51.1535
1,82,-126.1376,-21.0262,-51.0427
1,82,-126.1362,-20.7172,-50.9958
1,82,-126.7450,-20.1160,-50.7742
1,82,-126.7437,-19.8070,-50.7273
1,82,-127.0481,-19.5064,-50.6166
1,82,-127.0467,-19.1974,-50.5697
1,82,-127.3511,-18.8968,-50.4589
1,82,-127.3470,-17.9699,-50.3182
1,82,-127.6514,-17.6693,-50.2074
1,82,-127.6431,-15.8156,-49.9260
1,82,-127.3359,-15.4983,-49.9430
1,82,-127.3318,-14.5714,-49.8023
1,82,-127.0246,-14.2541,-49.8193
1,82,-127.0219,-13.6362,-49.7255
1,82,-126.7147,-13.3189,-49.7425
1,82,-126.7133,-13.0099,-49.6956
1,82,-126.4062,-12.6926,-49.7126
1,82,-126.4048,-12.3837,-49.6657
1,82,-125.4833,-11.4318,-49.7166
1,82,-125.4806,-10.8139,-49.6228
1,82,-125.1734,-10.4966,-49.6398
1,82,-125.1693,-9.5697,-49.4991
1,82,-124.8621,-9.2524,-49.5161
1,82,-124.8580,-8.3256,-49.3754
1,82,-124.5508,-8.0083,-49.3924
1,82,-124.5494,-7.6993,-49.3455
1,82,-123.6279,-6.7474,-49.3964
1,82,-123.6265,-6.4385,-49.3495
1,82,-123.0122,-5.8039,-49.3835
1,82,-123.0108,-5.4949,-49.3366
1,82,-122.3965,-4.8604,-49.3706
1,82,-122.3951,-4.5514,-49.3237
1,82,-120.5521,-2.6477,-49.4256
1,82,-120.2464,-2.6393,-49.4895
1,82,-116.8675,0.8509,-49.6763
1,82,-116.5618,0.8592,-49.7402
1,82,-116.2546,1.1765,-49.7572
1,82,-115.9488,1.1848,-49.8211
1,82,-115.6416,1.5021,-49.8381
1,82,-114.1127,1.5438,-50.1575
1,82,-113.8055,1.8611,-50.1745
1,82,-113.1940,1.8778,-50.3022
1,82,-112.8868,2.1951,-50.3192
1,82,-112.2752,2.2117,-50.4470
1,82,-111.9681,2.5290,-50.4640
1,82,-111.6623,2.5374,-50.5279
1,82,-111.3579,2.2367,-50.6386
1,82,-109.2174,2.2951,-51.0858
1,82,-108.9130,1.9944,-51.1966
1,82,-108.3014,2.0111,-51.3244
1,82,-107.6926,1.4099,-51.5460
1,82,-107.6939,1.1009,-51.5929
1,82,-107.3895,0.8003,-51.7036
1,82,-99.5107,-15.0488,-55.8033
1,82,-99.5121,-15.3578,-55.8502
1,82,-98.5989,-16.2597,-56.1826
1,82,-98.6002,-16.5686,-56.2295
1,82,-99.2146,-17.2032,-56.1955
1,82,-99.8261,-17.2199,-56.0677
1,82,-100.1333,-17.5372,-56.0508
1,82,-100.4391,-17.5455,-55.9869
1,82,-107.4970,-23.2984,-55.3617
1,82,-107.4984,-23.6074,-55.4086
1,82,-109.0342,-25.1938,-55.3237
1,82,-109.3400,-25.2022,-55.2598
1,82,-110.2615,-26.1540,-55.2088
1,82,-110.5673,-26.1624,-55.1450
1,82,-111.7959,-27.4315,-55.0770
1,82,-112.7133,-27.4566,-54.8854
1,82,-113.0204,-27.7738,-54.8684
1,82,-115.4667,-27.8405,-54.3573
1,82,-115.7739,-28.1578,-54.3403
3,145,-113.1254,-33.3833,-40.8162
3,145,-113.4298,-33.0827,-40.7054
3,145,-114.0414,-33.0994,-40.5776
3,145,-114.3458,-32.7988,-40.4668
3,145,-114.9574,-32.8154,-40.3391
3,145,-115.2618,-32.5148,-40.2283
3,145,-115.8734,-32.5315,-40.1005
3,145,-116.1778,-32.2309,-39.9897
3,145,-116.4836,-32.2392,-39.9259
3,145,-116.7880,-31.9386,-39.8151
3,145,-117.0938,-31.9469,-39.7512
3,145,-118.0070,-31.0450,-39.4188
3,145,-118.3128,-31.0534,-39.3550
3,145,-118.6172,-30.7527,-39.2442
3,145,-119.2288,-30.7694,-39.1164
3,145,-120.1420,-29.8675,-38.7841
3,145,-120.4478,-29.8759,-38.7202
3,145,-123.7963,-26.5690,-37.5016
3,145,-123.7935,-25.9511,-37.4078
3,145,-124.4023,-25.3498,-37.1862
3,145,-124.4010,-25.0409,-37.1393
3,145,-124.7054,-24.7403,-37.0285
3,145,-124.7040,-24.4313,-36.9816
3,145,-125.0084,-24.1307,-36.8708
3,145,-125.0029,-22.8948,-36.6832
3,145,-125.3073,-22.5942,-36.5725
3,145,-125.3059,-22.2853,-36.5256
3,145,-125.6103,-21.9846,-36.4148
3,145,-125.6048,-20.7488,-36.2272
3,145,-126.2136,-20.1476,-36.0056
3,145,-126.2095,-19.2207,-35.8649
3,145,-126.5139,-18.9201,-35.7542
3,145,-126.5098,-17.9932,-35.6135
3,145,-126.8142,-17.6926,-35.5027
3,145,-126.8046,-15.5299,-35.1744
3,145,-127.1090,-15.2292,-35.0636
3,145,-126.4671,-8.4155,-34.1596
3,145,-126.4657,-8.1065,-34.1127
3,145,-125.8514,-7.4720,-34.1467
3,145,-125.8472,-6.5451,-34.0060
3,145,-125.2329,-5.9105,-34.0400
3,145,-125.2315,-5.6015,-33.9931
3,145,-124.6172,-4.9670,-34.0270
3,145,-124.6158,-4.6580,-33.9801
3,145,-124.3087,-4.3407,-33.9971
3,145,-124.3059,-3.7228,-33.9033
3,145,-123.9987,-3.4055,-33.9203
3,145,-123.9974,-3.0965,-33.8734
3,145,-123.6902,-2.7793,-33.8904
3,145,-123.6874,-2.1613,-33.7966
3,145,-122.7660,-1.2095,-33.8475
3,145,-122.7646,-0.9005,-33.8007
3,145,-121.8431,0.0514,-33.8516
3,145,-121.8417,0.3603,-33.8047
3,145,-120.6130,1.6295,-33.8727
