x_mm,y_mm,z_mm,slice_idx
-109.6729,-1.4901,-55.2886,11
-107.5420,-3.5945,-56.0641,11
-107.5434,-3.9034,-56.1110,11
-107.2390,-4.2041,-56.2218,11
-107.2404,-4.5130,-56.2687,11
-106.9360,-4.8136,-56.3794,11
-106.9373,-5.1226,-56.4263,11
-106.6329,-5.4232,-56.5371,11
-106.6343,-5.7322,-56.5840,11
-106.3299,-6.0328,-56.6948,11
-106.3340,-6.9597,-56.8355,11
-106.0296,-7.2603,-56.9463,11
-106.0324,-7.8782,-57.0401,11
-105.7280,-8.1788,-57.1509,11
-105.7293,-8.4878,-57.1978,11
-103.9029,-10.2915,-57.8625,11
-103.9056,-10.9095,-57.9563,11
-103.6012,-11.2101,-58.0670,11
-103.6054,-12.1369,-58.2077,11
-103.9125,-12.4542,-58.1907,11
-103.9318,-16.7796,-58.8473,11
-104.2390,-17.0969,-58.8303,11
-104.2417,-17.7149,-58.9241,11
-104.5489,-18.0321,-58.9072,11
-104.5516,-18.6501,-59.0009,11
-104.8588,-18.9674,-58.9840,11
-104.8602,-19.2763,-59.0309,11
-106.0888,-20.5455,-58.9629,11
-106.3946,-20.5538,-58.8990,11
-106.7018,-20.8711,-58.8820,11
-107.3134,-20.8878,-58.7543,11
-107.6205,-21.2051,-58.7373,11
-108.2321,-21.2217,-58.6095,11
-109.1536,-22.1736,-58.5586,11
-109.4594,-22.1819,-58.4947,11
-110.9952,-23.7684,-58.4098,11
-111.3010,-23.7767,-58.3459,11
-112.2225,-24.7286,-58.2949,11
-112.5283,-24.7369,-58.2310,11
-113.4498,-25.6888,-58.1801,11
-114.0614,-25.7055,-58.0523,11
-114.3685,-26.0228,-58.0353,11
-114.9801,-26.0394,-57.9076,11
-115.2873,-26.3567,-57.8906,11
-116.2046,-26.3817,-57.6989,11
-116.5118,-26.6990,-57.6819,11
-114.4341,-31.7626,-51.4548,12
-114.7385,-31.4620,-51.3440,12
-115.9616,-31.4953,-51.0884,12
-116.2661,-31.1947,-50.9777,12
-116.8776,-31.2114,-50.8499,12
-117.1820,-30.9108,-50.7391,12
-117.4878,-30.9191,-50.6752,12
-117.7922,-30.6185,-50.5644,12
-118.0980,-30.6268,-50.5006,12
-118.7068,-30.0255,-50.2790,12
-119.0126,-30.0339,-50.2151,12
-119.6214,-29.4326,-49.9935,12
-119.9272,-29.4410,-49.9297,12
-120.2316,-29.1403,-49.8189,12
-120.5374,-29.1487,-49.7550,12
-121.1462,-28.5474,-49.5334,12
-121.4520,-28.5558,-49.4695,12
-122.0609,-27.9545,-49.2480,12
-122.3666,-27.9628,-49.1841,12
-124.8019,-25.5579,-48.2978,12
-124.8005,-25.2489,-48.2509,12
-125.4094,-24.6477,-48.0294,12
-125.4080,-24.3387,-47.9825,12
-126.6256,-23.1362,-47.5393,12
-126.6229,-22.5183,-47.4455,12
-126.9273,-22.2177,-47.3348,12
-126.9245,-21.5997,-47.2410,12
-127.2289,-21.2991,-47.1302,12
-127.2275,-20.9902,-47.0833,12
-127.5320,-20.6895,-46.9725,12
-127.5278,-19.7627,-46.8318,12
-127.8322,-19.4620,-46.7210,12
-127.8309,-19.1531,-46.6741,12
-128.1353,-18.8525,-46.5633,12
-128.1339,-18.5435,-46.5164,12
-128.4383,-18.2429,-46.4057,12
-128.4342,-17.3160,-46.2650,12
-128.7386,-17.0154,-46.1542,12
-128.7358,-16.3975,-46.0604,12
-129.3446,-15.7962,-45.8388,12
-129.3419,-15.1783,-45.7450,12
-128.1132,-13.9091,-45.8130,12
-128.1118,-13.6002,-45.7661,12
-127.8047,-13.2829,-45.7831,12
-127.8019,-12.6650,-45.6893,12
-127.4948,-12.3477,-45.7062,12
-127.4934,-12.0387,-45.6594,12
-127.1862,-11.7214,-45.6763,12
-127.1835,-11.1035,-45.5825,12
-126.8763,-10.7862,-45.5995,12
-126.8735,-10.1683,-45.5057,12
-126.5664,-9.8510,-45.5227,12
-126.5650,-9.5421,-45.4758,12
-125.9507,-8.9075,-45.5098,12
-125.9479,-8.2896,-45.4160,12
-125.6408,-7.9723,-45.4330,12
-125.6394,-7.6633,-45.3861,12
-124.7179,-6.7114,-45.4370,12
-124.7165,-6.4025,-45.3901,12
-124.4093,-6.0852,-45.4071,12
-124.4024,-4.5404,-45.1726,12
-125.6201,-3.3379,-44.7295,12
-125.6173,-2.7200,-44.6357,12
-125.3102,-2.4027,-44.6527,12
-125.3088,-2.0937,-44.6058,12
-125.0016,-1.7764,-44.6228,12
-125.0002,-1.4675,-44.5759,12
-124.6931,-1.1502,-44.5929,12
-124.6903,-0.5323,-44.4991,12
-124.3832,-0.2150,-44.5161,12
-124.3818,0.0940,-44.4692,12
-124.0746,0.4113,-44.4861,12
-124.0719,1.0292,-44.3923,12
-123.7647,1.3465,-44.4093,12
-123.7633,1.6554,-44.3624,12
-123.4562,1.9727,-44.3794,12
-123.4548,2.2817,-44.3325,12
-122.8405,2.9163,-44.3665,12
-122.8391,3.2252,-44.3196,12
-120.9961,5.1290,-44.4215,12
-120.6903,5.1373,-44.4854,12
-120.0760,5.7719,-44.5194,12
-119.7702,5.7802,-44.5832,12
-117.6200,8.0013,-44.7021,12
-117.3142,8.0096,-44.7660,12
-116.6999,8.6442,-44.8000,12
-116.3941,8.6525,-44.8639,12
-115.7798,9.2871,-44.8979,12
-114.8624,9.3121,-45.0895,12
-114.5553,9.6294,-45.1065,12
