slice_idx,num_points,x_mm,y_mm,z_mm
15,71,-120.4758,-2.6189,13.9217
15,71,-119.8195,-3.2567,13.7013
15,71,-115.2254,-3.1272,12.9350
15,71,-114.5691,-3.7650,12.7147
15,71,-113.9128,-3.7465,12.6052
15,71,-113.2565,-4.3843,12.3848
15,71,-111.9439,-4.3473,12.1659
15,71,-111.2876,-4.9852,11.9455
15,71,-110.6313,-4.9667,11.8360
15,71,-109.9750,-5.6045,11.6156
15,71,-109.3187,-5.5860,11.5062
15,71,-108.0061,-6.8616,11.0654
15,71,-107.3498,-6.8431,10.9559
15,71,-100.7868,-13.2213,8.7521
15,71,-100.7868,-13.8776,8.6412
15,71,-100.1305,-14.5154,8.4208
15,71,-100.1305,-15.1718,8.3099
15,71,-99.4742,-15.8096,8.0895
15,71,-99.4742,-17.1222,7.8677
15,71,-98.8179,-17.7600,7.6473
15,71,-98.8179,-18.4164,7.5364
15,71,-98.1616,-19.0542,7.3160
15,71,-98.1616,-26.2737,6.0959
15,71,-108.0061,-46.8971,4.2995
15,71,-108.6624,-47.5719,4.2981
15,71,-108.6624,-48.2282,4.1872
15,71,-111.2876,-50.9275,4.1814
15,71,-111.9439,-50.9460,4.2909
15,71,-112.6002,-50.3082,4.5112
15,71,-113.9128,-50.3452,4.7302
15,71,-118.5069,-51.7873,5.2746
15,71,-121.1321,-54.4866,5.2688
16,74,-121.1764,-52.4654,1.2979
16,74,-121.8327,-51.8275,1.5183
16,74,-129.0520,-52.0310,2.7224
16,74,-129.7083,-51.3932,2.9428
16,74,-131.6772,-51.4487,3.2712
16,74,-132.3335,-50.8109,3.4916
16,74,-132.9898,-50.8294,3.6011
16,74,-133.6461,-50.1916,3.8215
16,74,-134.9587,-50.2286,4.0404
16,74,-140.2091,-45.1260,5.8035
16,74,-140.2091,-44.4697,5.9144
16,74,-145.4595,-39.3672,7.6774
16,74,-145.4595,-38.7108,7.7884
16,74,-146.1158,-38.0730,8.0087
16,74,-146.1158,-37.4167,8.1197
16,74,-146.7721,-36.7789,8.3400
16,74,-146.7721,-36.1226,8.4510
16,74,-147.4284,-35.4847,8.6713
16,74,-147.4284,-30.2342,9.5587
16,74,-146.1158,-28.8846,9.5616
16,74,-146.1158,-28.2282,9.6725
16,74,-135.6150,-9.5553,11.0266
16,74,-134.9587,-8.8805,11.0281
16,74,-134.9587,-8.2242,11.1390
16,74,-131.6772,-4.8501,11.1462
16,74,-131.0209,-4.8316,11.0368
16,74,-130.3646,-4.1568,11.0382
16,74,-129.7083,-4.1383,10.9288
16,74,-129.0520,-3.4635,10.9302
16,74,-128.3957,-3.4450,10.8207
16,74,-127.7394,-2.7701,10.8222
16,74,-122.4890,-2.6221,9.9464
16,74,-121.8327,-1.9473,9.9479
16,74,-120.5201,-1.9103,9.7290
16,74,-119.8638,-2.5481,9.5086
16,74,-119.2075,-2.5296,9.3991
16,74,-118.5511,-1.8548,9.4006
16,74,-117.8948,-2.4926,9.1802
16,74,-116.5822,-2.4556,8.9612
16,74,-115.9259,-3.0935,8.7409
16,74,-113.9570,-3.0380,8.4124
16,74,-113.3007,-3.6758,8.1921
16,74,-112.6444,-3.6573,8.0826
16,74,-111.9881,-4.2951,7.8622
16,74,-111.3318,-4.2766,7.7527
16,74,-110.6755,-4.9144,7.5324
16,74,-110.0192,-4.8959,7.4229
16,74,-108.7066,-6.1716,6.9821
16,74,-108.0503,-6.1531,6.8727
16,74,-102.1436,-11.8934,4.8892
16,74,-102.1436,-12.5497,4.7783
16,74,-101.4873,-13.1876,4.5579
16,74,-101.4873,-13.8439,4.4470
16,74,-100.8310,-14.4817,4.2266
16,74,-100.8310,-15.1380,4.1157
16,74,-100.1747,-15.7758,3.8953
16,74,-100.1747,-17.7448,3.5626
16,74,-99.5184,-18.3826,3.3422
16,74,-101.4873,-37.4714,0.4540
16,74,-102.1436,-39.4588,0.2308
16,74,-102.7999,-40.1336,0.2293
16,74,-102.7999,-43.4152,-0.3253
16,74,-103.4562,-44.0900,-0.3267
16,74,-103.4562,-44.7464,-0.4376
16,74,-106.0814,-47.4456,-0.4434
