x_mm,y_mm,z_mm,slice_idx
-132.9898,-50.8294,3.6011,16
-133.6461,-50.1916,3.8215,16
-134.9587,-50.2286,4.0404,16
-140.2091,-45.1260,5.8035,16
-140.2091,-44.4697,5.9144,16
-145.4595,-39.3672,7.6774,16
-145.4595,-38.7108,7.7884,16
-146.1158,-38.0730,8.0087,16
-146.1158,-37.4167,8.1197,16
-146.7721,-36.7789,8.3400,16
-146.7721,-36.1226,8.4510,16
-147.4284,-35.4847,8.6713,16
-147.4284,-30.2342,9.5587,16
-146.1158,-28.8846,9.5616,16
-146.1158,-28.2282,9.6725,16
-144.8032,-26.8786,9.6754,16
-144.1469,-26.8601,9.5659,16
-140.2091,-22.8112,9.5746,16
-140.2091,-22.1549,9.6855,16
-138.8965,-20.8052,9.6884,16
-138.8965,-20.1489,9.7993,16
-138.2402,-19.4741,9.8008,16
-138.2402,-18.1615,10.0226,16
-137.5839,-17.4866,10.0241,16
-137.5839,-16.8303,10.1350,16
-136.9276,-16.1555,10.1364,16
-136.9276,-15.4992,10.2473,16
-136.2713,-14.8244,10.2488,16
-136.9276,-14.1865,10.4692,16
-136.9276,-13.5302,10.5801,16
-136.2713,-12.8554,10.5815,16
-136.2713,-12.1991,10.6924,16
-135.6150,-11.5243,10.6939,16
-135.6150,-9.5553,11.0266,16
-134.9587,-8.8805,11.0281,16
-134.9587,-8.2242,11.1390,16
-131.6772,-4.8501,11.1462,16
-131.0209,-4.8316,11.0368,16
-130.3646,-4.1568,11.0382,16
-129.7083,-4.1383,10.9288,16
-129.0520,-3.4635,10.9302,16
-128.3957,-3.4450,10.8207,16
-127.7394,-2.7701,10.8222,16
-122.4890,-2.6221,9.9464,16
-121.8327,-1.9473,9.9479,16
-120.5201,-1.9103,9.7290,16
-119.8638,-2.5481,9.5086,16
-119.2075,-2.5296,9.3991,16
-118.5511,-1.8548,9.4006,16
-117.8948,-2.4926,9.1802,16
-116.5822,-2.4556,8.9612,16
-115.9259,-3.0935,8.7409,16
-113.9570,-3.0380,8.4124,16
-113.3007,-3.6758,8.1921,16
-112.6444,-3.6573,8.0826,16
-111.9881,-4.2951,7.8622,16
-111.3318,-4.2766,7.7527,16
-110.6755,-4.9144,7.5324,16
-110.0192,-4.8959,7.4229,16
-108.7066,-6.1716,6.9821,16
-108.0503,-6.1531,6.8727,16
-102.1436,-11.8934,4.8892,16
-102.1436,-12.5497,4.7783,16
-101.4873,-13.1876,4.5579,16
-101.4873,-13.8439,4.4470,16
-100.8310,-14.4817,4.2266,16
-100.8310,-15.1380,4.1157,16
-100.1747,-15.7758,3.8953,16
-100.1747,-17.7448,3.5626,16
-99.5184,-18.3826,3.3422,16
-99.5184,-24.2895,2.3439,16
-100.1747,-24.9643,2.3425,16
-100.1747,-25.6206,2.2316,16
-100.8310,-26.2954,2.2301,16
-100.8310,-28.2644,1.8974,16
-101.4873,-28.9392,1.8959,16
-101.4873,-32.8771,1.2304,16
-100.8310,-33.5150,1.0101,16
-100.8310,-34.8276,0.7882,16
-101.4873,-35.5024,0.7868,16
-101.4873,-37.4714,0.4540,16
-102.1436,-38.1462,0.4526,16
-102.1436,-39.4588,0.2308,16
-102.7999,-40.1336,0.2293,16
-102.7999,-43.4152,-0.3253,16
-103.4562,-44.0900,-0.3267,16
-103.4562,-44.7464,-0.4376,16
-106.0814,-47.4456,-0.4434,16
-106.7377,-47.4641,-0.3340,16
-108.7066,-49.4886,-0.3383,16
-111.3318,-49.5626,0.0996,16
-111.9881,-50.2374,0.0981,16
-112.6444,-50.2559,0.2076,16
-113.3007,-49.6181,0.4280,16
-113.9570,-49.6366,0.5374,16
-115.9259,-47.7231,1.1986,16
-119.8638,-51.7720,1.1899,16
-120.5201,-51.7905,1.2994,16
-128.4399,-51.3040,-1.5798,17
-129.0962,-50.6662,-1.3594,17
-130.4088,-50.7032,-1.1404,17
-131.0651,-50.0653,-0.9201,17
-132.3777,-50.1023,-0.7011,17
-133.0340,-49.4645,-0.4807,17
-133.6903,-49.4830,-0.3713,17
-134.3466,-48.8452,-0.1509,17
-135.0029,-48.8637,-0.0414,17
-135.6592,-48.2259,0.1790,17
-136.3155,-48.2444,0.2884,17
-139.5970,-45.0553,1.3903,17
-139.5970,-44.3990,1.5013,17
-140.9096,-43.1233,1.9420,17
-140.9096,-42.4670,2.0529,17
-143.5348,-39.9157,2.9345,17
-143.5348,-39.2594,3.0454,17
-144.1911,-38.6216,3.2658,17
-144.1911,-37.9653,3.3767,17
-144.8474,-37.3275,3.5971,17
-144.8474,-36.6711,3.7080,17
-146.1600,-35.3955,4.1488,17
-146.1600,-32.7702,4.5924,17
-145.5037,-32.0954,4.5939,17
-145.5037,-30.7828,4.8157,17
-144.8474,-30.1080,4.8171,17
-144.8474,-29.4516,4.9281,17
-144.1911,-28.7768,4.9295,17
-144.1911,-28.1205,5.0404,17
-143.5348,-27.4457,5.0419,17
-143.5348,-26.7894,5.1528,17
-140.9096,-24.0901,5.1586,17
-140.9096,-23.4338,5.2695,17
-139.5970,-22.0841,5.2724,17
-139.5970,-21.4278,5.3833,17
-136.9718,-18.7285,5.3891,17
-136.9718,-16.7596,5.7218,17
-136.3155,-16.0848,5.7233,17
-136.3155,-14.7721,5.9451,17
-134.3466,-12.7477,5.9495,17
-134.3466,-10.7787,6.2822,17
-135.0029,-10.1409,6.5026,17
-134.3466,-9.4661,6.5041,17
-134.3466,-8.8098,6.6150,17
-133.6903,-8.1349,6.6164,17
-133.6903,-7.4786,6.7273,17
-133.0340,-6.8038,6.7288,17
-133.0340,-6.1475,6.8397,17
-131.0651,-4.1230,6.8440,17
-130.4088,-4.1045,6.7346,17
-129.7525,-3.4297,6.7360,17
-128.4399,-3.3927,6.5171,17
-127.7836,-2.7179,6.5185,17
-126.4710,-2.6809,6.2996,17
-125.8147,-2.0061,6.3010,17
-121.2206,-1.8766,5.5348,17
-120.5643,-1.2018,5.5362,17
-119.9080,-1.1833,5.4268,17
-119.2517,-0.5084,5.4282,17
-118.5954,-1.1463,5.2078,17
-117.2828,-1.1093,4.9889,17
-116.6265,-1.7471,4.7685,17
-115.9702,-1.7286,4.6590,17
-114.6576,-3.0042,4.2183,17
-114.0013,-2.9857,4.1088,17
-112.6887,-4.2614,3.6680,17
-112.0324,-4.2429,3.5586,17
-111.3761,-4.8807,3.3382,17
-110.7198,-4.8622,3.2287,17
-109.4072,-6.1378,2.7879,17
-108.7509,-6.1193,2.6785,17
-107.4383,-7.3950,2.2377,17
-106.7820,-7.3765,2.1282,17
-100.8752,-13.1168,0.1448,17
-100.8752,-13.7731,0.0339,17
-100.2189,-14.4110,-0.1865,17
-100.2189,-15.0673,-0.2974,17
-101.5315,-16.4169,-0.3003,17
-101.5315,-20.3548,-0.9658,17
-102.1878,-21.0297,-0.9673,17
-102.1878,-22.3423,-1.1891,17
-102.8441,-23.0171,-1.1905,17
-102.8441,-23.6734,-1.3015,17
-104.1567,-25.0231,-1.3044,17
-103.5004,-25.6609,-1.5247,17
-103.5004,-26.3172,-1.6356,17
-102.8441,-26.9550,-1.8560,17
-102.8441,-31.5493,-2.6324,17
-102.1878,-32.1871,-2.8528,17
-102.1878,-36.7813,-3.6292,17
-102.8441,-37.4561,-3.6307,17
-102.8441,-38.7688,-3.8525,17
-102.1878,-39.4066,-4.0729,17
-102.1878,-42.0319,-4.5166,17
-104.1567,-44.0563,-4.5209,17
-104.8130,-44.0748,-4.4114,17
-106.1257,-45.4244,-4.4143,17
-106.7820,-45.4429,-4.3049,17
-107.4383,-46.1178,-4.3063,17
-108.0946,-46.1363,-4.1968,17
-108.7509,-46.8111,-4.1983,17
-110.7198,-46.8666,-3.8699,17
-112.6887,-48.8910,-3.8742,17
-115.9702,-45.7019,-2.7723,17
-117.2828,-45.7389,-2.5534,17
-117.9391,-45.1011,-2.3330,17
-119.9080,-47.1256,-2.3373,17
-119.9080,-47.7819,-2.4483,17
-119.2517,-48.4197,-2.6686,17
-120.5643,-49.7693,-2.6715,17
-121.2206,-49.7878,-2.5621,17
-121.8769,-50.4627,-2.5635,17
-122.5332,-50.4812,-2.4541,17
-123.1895,-51.1560,-2.4555,17
-130.4530,-48.6820,-5.1114,18
-131.1093,-48.0441,-4.8910,18
-133.0782,-48.0996,-4.5626,18
-133.7345,-47.4618,-4.3422,18
-135.0471,-47.4988,-4.1232,18
-136.3597,-46.2232,-3.6825,18
-137.0160,-46.2417,-3.5730,18
-140.2975,-43.0526,-2.4711,18
-140.2975,-42.3963,-2.3602,18
-141.6101,-41.1206,-1.9194,18
-141.6101,-40.4643,-1.8085,18
-142.9227,-39.1887,-1.3677,18
-142.9227,-38.5324,-1.2568,18
-143.5790,-37.8945,-1.0364,18
-143.5790,-36.5819,-0.8146,18
-144.2353,-35.9441,-0.5942,18
-144.2353,-34.6314,-0.3724,18
-144.8916,-33.9936,-0.1520,18
-144.8916,-31.3684,0.2917,18
-144.2353,-30.6935,0.2931,18
-144.2353,-28.7246,0.6259,18
-142.9227,-27.3749,0.6288,18
-142.9227,-26.7186,0.7397,18
-142.2664,-26.0438,0.7411,18
-142.2664,-25.3875,0.8520,18
-140.2975,-23.3630,0.8564,18
-140.2975,-22.7067,0.9673,18
-138.3286,-20.6823,0.9716,18
-138.3286,-20.0259,1.0826,18
-137.0160,-18.6763,1.0854,18
-137.0160,-18.0200,1.1964,18
-136.3597,-17.3452,1.1978,18
-136.3597,-16.6888,1.3087,18
-135.0471,-15.3392,1.3116,18
-135.0471,-14.6829,1.4225,18
-134.3908,-14.0081,1.4240,18
-134.3908,-13.3518,1.5349,18
-133.7345,-12.6769,1.5364,18
-133.7345,-12.0206,1.6473,18
-131.7656,-9.9962,1.6516,18
-131.1093,-9.9777,1.5421,18
-129.7967,-8.6280,1.5450,18
-128.4841,-8.5910,1.3261,18
-127.1715,-9.8667,0.8853,18
-127.1715,-11.1793,0.6635,18
-126.5152,-11.8171,0.4431,18
-126.5152,-13.1298,0.2213,18
-125.8589,-13.7676,0.0009,18
-125.8589,-14.4239,-0.1100,18
-123.8900,-16.3374,-0.7712,18
-123.2337,-16.3189,-0.8806,18
-122.5774,-16.9567,-1.1010,18
-121.9211,-16.9382,-1.2105,18
-117.9833,-20.7651,-2.5328,18
-117.3270,-20.7466,-2.6422,18
-116.6707,-21.3844,-2.8626,18
-111.4203,-21.2364,-3.7384,18
-110.1077,-19.8868,-3.7355,18
-109.4514,-19.8683,-3.8449,18
-108.1388,-21.1439,-4.2857,18
-108.1388,-23.1129,-4.6185,18
-107.4825,-23.7507,-4.8388,18
-107.4825,-27.0323,-5.3934,18
-106.1699,-28.3079,-5.8342,18
-106.1699,-29.6206,-6.0560,18
-104.8573,-30.8962,-6.4968,18
-104.8573,-31.5525,-6.6077,18
-104.2010,-32.1903,-6.8281,18
-104.2010,-34.8156,-7.2717,18
-104.8573,-35.4904,-7.2732,18
-104.8573,-36.1467,-7.3841,18
-103.5447,-37.4224,-7.8249,18
-103.5447,-38.0787,-7.9358,18
-102.8884,-38.7165,-8.1562,18
-102.8884,-39.3728,-8.2671,18
-104.8573,-41.3973,-8.2714,18
-106.8262,-41.4528,-7.9430,18
-108.7951,-43.4772,-7.9474,18
-109.4514,-43.4957,-7.8379,18
-110.1077,-44.1706,-7.8394,18
-110.7640,-44.1891,-7.7299,18
-111.4203,-44.8639,-7.7313,18
-112.0766,-44.2261,-7.5109,18
-112.7329,-44.2446,-7.4015,18
