slice_idx,circle_idx,is_articular,area_px,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,radius_mm,num_inliers,num_total_in_slice,inlier_ratio,fit_residual_mm
13,0,1,1837,-118.4823,-26.3529,16.9651,-0.166790,0.164300,-0.972207,20.3078,40,68,0.5882,0.4810
13,1,1,1837,-123.3750,-37.4637,15.9268,-0.166790,0.164300,-0.972207,17.9702,25,68,0.3676,0.4293
14,0,1,2210,-119.3449,-25.6201,12.9168,-0.166790,0.164300,-0.972207,21.5483,49,84,0.5833,0.6194
14,1,1,2210,-123.1934,-34.4905,12.0780,-0.166790,0.164300,-0.972207,20.4515,31,84,0.3690,0.4694
15,0,1,2430,-123.1642,-27.7836,8.8864,-0.166790,0.164300,-0.972207,24.8894,56,78,0.7179,0.7013
16,0,1,2492,-122.8274,-27.8093,4.5042,-0.166790,0.164300,-0.972207,25.0450,54,77,0.7013,0.4905
17,0,1,2459,-122.5427,-26.8464,0.2980,0.166790,-0.164300,0.972207,24.0139,54,87,0.6207,0.5443
18,0,1,2183,-123.1320,-27.9254,-4.1033,-0.166790,0.164300,-0.972207,21.5800,50,65,0.7692,0.5674
21,0,0,1009,-132.5775,-27.3695,-15.3491,0.166790,-0.164300,0.972207,13.5031,41,46,0.8913,0.5081
22,0,0,794,-135.0653,-25.8599,-18.9873,0.166790,-0.164300,0.972207,12.2288,37,38,0.9737,0.5435
23,0,0,676,-136.7737,-24.8295,-22.8401,0.166790,-0.164300,0.972207,11.7886,35,37,0.9459,0.4624
24,0,0,622,-138.2573,-24.1799,-26.7959,-0.166790,0.164300,-0.972207,12.0429,34,34,1.0000,0.4759
25,0,0,637,-140.0392,-22.8276,-30.5817,0.166790,-0.164300,0.972207,11.2796,37,38,0.9737,0.5115
26,0,0,564,-141.6360,-22.0768,-34.5010,-0.166790,0.164300,-0.972207,11.3541,32,32,1.0000,0.5175
27,0,0,571,-143.4369,-20.9905,-38.3285,-0.166790,0.164300,-0.972207,11.6264,26,28,0.9286,0.5557
28,0,0,570,-144.7772,-19.6163,-42.1864,-0.166790,0.164300,-0.972207,11.5052,24,28,0.8571,0.5821
29,0,0,554,-146.6057,-18.4539,-45.9963,-0.166790,0.164300,-0.972207,11.4441,29,31,0.9355,0.6291
